gene_id	transcript_id(s)	Naive_EZH2i_R1	Naive_EZH2i_R2	Naive_EZH2i_R3	Naive_R1	Naive_R2	Naive_R3	Primed_EZH2i_R1	Primed_EZH2i_R2	Primed_EZH2i_R3	Primed_R1	Primed_R2	Primed_R3
ACSL3	NM_004457,NM_203372	391.00	415.00	512.00	1254.00	1283.00	1167.00	1646.00	1398.00	1210.00	1559.00	1451.00	1422.00
ACSL4	NM_004458,NM_022977	86.00	82.00	73.00	137.00	117.00	127.00	1011.00	887.00	739.00	994.00	869.00	800.00
ACSL5	NM_016234,NM_203379,NM_203380	0.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACSL6	NM_001009185,NM_001205247,NM_001205248,NM_001205250,NM_001205251,NM_015256	1.00	10.00	4.00	0.00	0.00	0.00	11.00	9.00	16.00	28.00	26.00	18.00
ACSM1	NM_052956	0.00	0.00	0.00	0.00	0.00	0.00	38.00	32.00	27.00	10.00	23.00	18.00
ACSM2A	NM_001308169,NM_001308172,NM_001308954	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACSM2B	NM_001105069,NM_182617	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACSM3	NM_005622,NM_202000	1.00	3.00	0.00	1.00	0.00	2.00	66.00	80.00	74.00	80.00	54.00	56.00
ACSM4	NM_001080454	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACSM5	NM_017888	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
ACSM6	NM_207321	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	2.00	1.00	6.00
ACSS1	NM_001252675,NM_001252676,NM_001252677,NM_032501	8.00	8.00	7.00	0.00	0.00	1.00	33.00	32.00	45.00	27.00	23.00	19.00
ACSS2	NM_001076552,NM_001242393,NM_018677	103.00	80.00	97.00	160.00	156.00	140.00	530.00	573.00	536.00	366.00	372.00	376.00
ACSS3	NM_024560	14.00	14.00	23.00	26.00	4.00	8.00	448.00	475.00	408.00	419.00	435.00	385.00
ACTA1	NM_001100	38.00	32.00	31.00	164.00	151.00	180.00	392.00	385.00	436.00	363.00	339.00	406.00
ACTA2	NM_001141945,NM_001613	238.00	227.00	257.00	89.00	82.00	84.00	221.00	196.00	210.00	159.00	152.00	167.00
ACTA2-AS1	NR_125373	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
ACTB	NM_001101	14901.00	15396.00	14398.00	18540.00	18543.00	21328.00	83684.00	95235.00	86851.00	88191.00	92682.00	98733.00
ACTBL2	NM_001017992	0.00	0.00	0.00	1.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACTC1	NM_005159	360.00	335.00	318.00	584.00	585.00	633.00	499.00	487.00	533.00	751.00	756.00	777.00
ACTG1	NM_001199954,NM_001614,NR_037688	11593.00	12317.00	11980.00	14103.00	13687.00	14965.00	73513.00	77726.00	70963.00	75285.00	75356.00	81383.00
ACTG1P17	NR_036446	0.00	0.00	0.00	0.00	0.00	0.00	8.00	7.00	8.00	5.00	3.00	8.00
ACTG1P20	NR_033926	3.00	4.00	1.00	4.00	1.00	1.00	9.00	7.00	2.00	4.00	10.00	1.00
ACTG1P4	NR_024438	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	3.00
ACTG2	NM_001199893,NM_001615	34.00	21.00	42.00	120.00	120.00	122.00	60.00	56.00	75.00	71.00	64.00	62.00
ACTL10	NM_001024675	4.00	4.00	1.00	0.00	0.00	0.00	5.00	7.00	2.00	3.00	3.00	1.00
ACTL6A	NM_004301,NM_177989,NM_178042	85.00	98.00	126.00	166.00	160.00	154.00	889.00	950.00	790.00	940.00	911.00	836.00
ACTL6B	NM_016188	0.00	0.00	0.00	1.00	1.00	0.00	12.00	17.00	11.00	14.00	30.00	33.00
ACTL7A	NM_006687	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACTL7B	NM_006686	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACTL8	NM_030812	1.00	4.00	3.00	3.00	1.00	3.00	10.00	8.00	3.00	1.00	1.00	5.00
ACTL9	NM_178525	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACTN1	NM_001102,NM_001130004,NM_001130005	1025.00	1058.00	1022.00	1296.00	1182.00	1405.00	5386.00	6480.00	5040.00	6665.00	7114.00	7203.00
ACTN1-AS1	NR_073422	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00
ACTN2	NM_001103,NM_001278343,NM_001278344	5.00	5.00	4.00	2.00	1.00	2.00	76.00	99.00	81.00	49.00	41.00	45.00
ACTN3	NM_001104,NM_001258371,NR_047663	0.00	3.00	0.00	1.00	2.00	1.00	1354.00	1647.00	1397.00	1473.00	1592.00	1697.00
ACTN4	NM_004924	1818.00	1786.00	1769.00	2568.00	2431.00	2751.00	5541.00	6627.00	5701.00	5893.00	6524.00	6695.00
ACTR10	NM_018477	72.00	78.00	88.00	101.00	82.00	83.00	434.00	446.00	375.00	413.00	352.00	391.00
ACTR1A	NM_005736	385.00	388.00	376.00	527.00	538.00	599.00	2252.00	2533.00	2421.00	2099.00	2137.00	2537.00
ACTR1B	NM_005735	101.00	60.00	71.00	99.00	110.00	135.00	784.00	888.00	843.00	722.00	673.00	745.00
ACTR2	NM_001005386,NM_005722	420.00	451.00	505.00	589.00	604.00	564.00	3331.00	2990.00	2381.00	3433.00	3049.00	2834.00
ACTR3	NM_001277140,NM_005721,NR_102318	446.00	502.00	436.00	591.00	544.00	500.00	1894.00	1771.00	1662.00	2110.00	1837.00	1951.00
ACTR3B	NM_001040135,NM_020445,NR_073000,NR_073001	26.00	25.00	34.00	26.00	36.00	26.86	495.00	477.93	448.79	413.00	403.72	465.81
ACTR3BP2	NR_027714	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACTR3BP5	NR_045000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACTR3C	NM_001164458,NM_001164459	0.00	0.00	0.00	0.00	0.00	1.14	0.00	1.07	1.21	0.00	2.28	1.19
ACTR5	NM_024855	33.00	34.00	28.00	59.00	69.00	80.00	205.00	250.00	236.00	207.00	208.00	214.00
ACTR6	NM_022496,NR_048568,NR_048569	51.00	63.00	33.00	84.00	81.00	79.00	305.00	267.00	305.00	343.00	338.00	289.00
ACTR8	NM_022899	51.00	50.00	65.00	85.00	65.00	86.00	423.00	413.00	337.00	352.00	330.00	363.00
ACTRT1	NM_138289	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACTRT2	NM_080431	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
ACTRT3	NM_032487	5.00	1.00	4.00	7.00	3.00	1.00	16.00	18.00	8.00	13.00	17.00	15.00
ACVR1	NM_001105,NM_001111067	89.00	97.00	80.00	139.00	166.00	128.00	652.00	583.00	480.00	393.00	481.00	436.00
ACVR1B	NM_004302,NM_020327,NM_020328	175.00	130.00	142.00	138.00	125.00	123.00	1774.00	1961.00	1879.00	1233.00	1297.00	1286.00
ACVR1C	NM_001111031,NM_001111032,NM_001111033,NM_145259	1.00	5.00	3.00	2.00	1.00	4.00	49.00	43.00	38.00	38.00	28.00	39.00
ACVR2A	NM_001278579,NM_001278580,NM_001616	55.00	52.00	53.00	37.00	31.00	36.00	331.00	262.00	267.00	336.00	320.00	299.00
ACVR2B	NM_001106	64.00	67.00	62.00	190.00	172.00	166.00	2957.00	2742.00	2715.00	3081.00	3075.00	2733.00
ACVR2B-AS1	NR_028389	0.00	0.00	0.00	0.00	1.00	1.00	69.00	59.00	83.00	90.00	75.00	62.00
ACVRL1	NM_000020,NM_001077401	107.00	85.00	90.00	35.00	34.00	48.00	10.00	12.00	6.00	8.00	7.00	8.00
ACY1	NM_000666,NM_001198895,NM_001198896,NM_001198897,NM_001198898	115.09	100.00	88.92	96.00	105.00	115.00	872.00	945.00	923.00	747.00	828.76	782.84
ACY3	NM_080658	0.00	0.00	0.00	0.00	0.00	0.00	3.00	5.00	1.00	1.00	0.00	0.00
ACYP1	NM_001107,NM_001302616,NM_001302617,NR_126393,NR_126394,NR_126395	3.00	3.00	2.00	3.00	1.00	7.00	69.00	64.00	61.00	59.00	63.00	70.00
ACYP2	NM_138448	1.00	2.00	1.00	3.00	2.00	0.00	20.00	14.00	18.00	15.00	17.00	16.00
ADA	NM_000022	46.00	44.00	52.00	76.00	56.00	80.00	430.00	467.00	436.00	389.00	408.00	441.00
ADAD1	NM_001159285,NM_001159295,NM_139243	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ADAD2	NM_001145400,NM_139174	1.00	1.00	0.00	3.00	4.00	2.00	7.00	15.00	6.00	16.00	13.00	8.00
ADAL	NM_001012969,NM_001159280	7.00	8.00	17.00	20.00	13.00	20.00	197.00	225.00	222.00	226.00	220.00	217.00
ADAM10	NM_001110	390.00	386.00	440.00	368.00	363.00	339.00	2066.00	1916.00	1611.00	2271.00	2088.00	1888.00
ADAM11	NM_002390	9.00	8.00	10.00	7.00	11.00	7.00	235.00	255.00	272.00	131.00	155.00	125.00
ADAM12	NM_001288973,NM_001288974,NM_001288975,NM_003474,NM_021641	69.00	78.00	92.00	40.00	37.00	35.00	28.00	30.00	22.00	19.00	13.00	23.00
ADAM15	NM_001261464,NM_001261465,NM_001261466,NM_003815,NM_207191,NM_207194,NM_207195,NM_207196,NM_207197,NR_048577,NR_048578,NR_048579	195.00	171.00	169.00	96.00	101.00	138.00	673.00	777.00	662.00	511.00	592.00	579.00
ADAM17	NM_003183	148.00	119.00	128.00	143.00	167.00	154.00	727.00	779.00	625.00	726.00	689.00	701.00
ADAM18	NM_001190956,NM_014237_1	5.00	6.00	5.00	4.00	3.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00
ADAM19	NM_033274	466.00	442.00	443.00	747.00	778.00	843.00	728.00	731.00	714.00	535.00	649.00	637.00
ADAM1A	NR_036636	4.00	5.00	7.00	8.00	14.00	5.00	30.00	36.00	44.00	26.00	26.00	33.00
ADAM2	NM_001278113,NM_001278114_1,NM_001464_1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADAM20	NM_003814	0.00	0.00	0.00	0.00	0.00	0.00	3.00	1.00	0.00	0.00	1.00	0.00
ADAM20P1	NR_037933	0.00	0.00	0.00	1.00	1.00	1.00	3.00	2.00	3.00	8.00	5.00	6.00
ADAM21	NM_003813	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	2.00
ADAM21P1	NR_003951	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ADAM22	NM_004194,NM_016351,NM_021721,NM_021722,NM_021723	5.00	2.00	0.00	3.00	0.00	2.00	370.00	302.00	334.00	397.00	375.00	347.00
ADAM23	NM_003812	23.00	33.00	16.00	26.00	32.00	21.00	888.00	874.00	892.00	598.00	618.00	638.00
ADAM28	NM_001304351,NM_014265,NM_021777,NR_130709,NR_130710	0.00	0.00	0.00	0.00	0.00	0.00	26.00	42.00	37.00	17.00	18.00	20.00
ADAM29	NM_001130703,NM_001130704,NM_001130705,NM_001278125,NM_001278126,NM_001278127,NM_014269	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
ADAM30	NM_021794	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADAM32	NM_145004_1	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	2.00	3.00	0.00	2.00
ADAM33	NM_001282447,NM_025220,NM_153202	3.00	8.00	5.00	8.00	2.00	8.00	189.00	242.00	312.00	139.00	171.00	149.00
ADAM3A	NR_001569,NR_024106,NR_024107,NR_073423	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADAM5	NR_001448	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADAM6	NR_002224	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADAM7	NM_003817	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00
ADAM8	NM_001109,NM_001164489,NM_001164490	39.00	36.00	28.00	22.00	7.00	25.00	183.00	260.00	221.00	145.00	166.00	202.00
ADAM9	NM_003816_1,NR_027638,NR_027639,NR_027878	261.00	206.00	283.00	100.00	106.00	94.00	315.00	320.00	248.00	347.00	277.00	281.00
ADAMDEC1	NM_001145271,NM_001145272,NM_014479	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADAMTS1	NM_006988	534.00	508.00	555.00	94.00	103.00	102.00	221.00	259.00	188.00	219.00	200.00	226.00
ADAMTS10	NM_001282352,NM_030957	8.00	14.00	11.00	0.00	1.00	1.00	95.00	116.00	123.00	69.00	104.00	130.00
ADAMTS12	NM_030955	107.00	95.00	114.00	80.00	54.00	48.00	252.00	287.00	206.00	224.00	236.00	208.00
ADAMTS13	NM_139025,NM_139026,NM_139027,NR_024514	5.00	5.00	3.00	1.00	7.00	5.00	180.00	214.00	217.00	116.00	177.00	158.00
ADAMTS14	NM_080722,NM_139155	1.00	0.00	0.00	2.00	3.00	0.00	140.00	174.00	188.00	99.00	136.00	90.00
ADAMTS15	NM_139055	108.00	95.00	95.00	36.00	32.00	53.00	90.00	102.00	71.00	51.00	63.00	67.00
ADAMTS16	NM_139056	0.00	0.00	0.00	0.00	2.00	0.00	84.00	136.00	85.00	64.00	69.00	54.00
ADAMTS17	NM_139057	4.00	2.00	3.00	1.00	6.00	1.00	46.00	38.00	43.00	26.00	16.00	23.00
ADAMTS18	NM_199355	17.00	18.00	12.00	2.00	6.00	2.00	2.00	11.00	3.00	0.00	2.00	0.00
ADAMTS19	NM_133638	24.00	34.00	31.00	3.00	0.00	2.00	570.00	522.00	455.00	514.00	444.00	452.00
ADAMTS19-AS1	NR_125748	0.00	0.00	1.00	0.00	0.00	1.00	16.00	23.00	9.00	14.00	21.00	15.00
ADAMTS2	NM_014244,NM_021599	10.00	6.00	7.00	5.00	5.00	13.00	480.00	571.00	521.00	331.00	371.00	386.00
ADAMTS20	NM_025003	32.00	20.00	35.00	14.00	10.00	17.00	105.00	81.00	80.00	114.00	123.00	90.00
ADAMTS3	NM_014243	14.00	20.00	28.00	13.00	21.00	18.00	69.00	75.00	66.00	110.00	91.00	82.00
ADAMTS4	NM_005099	3.00	5.00	6.00	4.00	2.00	8.00	380.00	380.00	338.00	591.00	610.00	683.00
ADAMTS5	NM_007038	2.00	8.00	4.00	1.00	0.00	2.00	30.00	22.00	18.00	27.00	28.00	27.00
ADAMTS6	NM_197941	15.00	12.00	13.00	3.00	7.00	3.00	40.00	36.00	49.00	28.00	23.00	47.00
ADAMTS7	NM_014272	44.00	59.00	45.00	15.00	7.00	9.00	2814.00	3213.00	2799.00	2069.00	2410.00	2578.00
ADAMTS7P1	NR_045529_1	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	1.00	0.00	1.00
ADAMTS8	NM_007037	8.00	6.00	5.00	7.00	5.00	4.00	208.00	198.00	201.00	147.00	173.00	175.00
ADAMTS9	NM_182920	424.00	421.00	458.00	98.00	77.00	79.00	113.00	101.00	80.00	27.00	21.00	32.00
ADAMTS9-AS1	NR_110150,NR_110151	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADAMTS9-AS2	NR_038264	0.00	0.00	1.00	0.00	0.00	0.00	2.00	0.00	2.00	1.00	2.00	0.00
ADAMTSL1	NM_001040272,NM_052866	23.00	16.00	20.00	12.00	19.00	25.00	81.00	87.00	71.00	74.00	53.00	54.00
ADAMTSL2	NM_001145320,NM_014694	14.00	13.00	23.00	44.00	27.00	41.00	69.00	75.00	53.00	79.00	81.00	75.00
ADAMTSL3	NM_001301110,NM_207517	9.00	7.00	14.00	7.00	3.00	2.00	43.00	49.00	31.00	17.00	14.00	25.00
ADAMTSL4	NM_001288607,NM_001288608,NM_019032,NM_025008	113.00	80.00	93.00	45.00	45.00	34.00	261.00	231.00	301.00	248.00	282.00	264.00
ADAMTSL4-AS1	NR_104133	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
ADAMTSL5	NM_213604	19.00	18.00	26.00	81.00	62.00	88.00	33.00	33.00	24.00	16.00	22.00	33.00
ADAP1	NM_001284308,NM_001284309,NM_001284310,NM_001284311,NM_006869	7.00	2.00	5.00	13.00	8.00	18.00	112.00	123.00	122.00	107.00	101.00	124.00
ADAP2	NM_018404	15.00	13.00	14.00	4.00	2.00	1.00	53.00	46.00	31.00	19.00	11.00	20.00
ADAR	NM_001025107,NM_001111,NM_001193495,NM_015840,NM_015841	528.00	532.00	541.00	810.00	862.00	845.00	5698.00	6191.00	5305.00	6509.00	6692.00	6832.00
ADARB1	NM_001112,NM_001160230,NM_015833,NM_015834,NR_027672,NR_027673,NR_027674,NR_073200	76.00	76.00	110.00	68.00	66.00	69.00	710.00	646.00	656.00	420.00	444.00	437.00
ADARB2	NM_018702	0.00	1.00	0.00	0.00	0.00	0.00	57.00	60.00	50.00	26.00	52.00	34.00
ADARB2-AS1	NR_033387	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
ADAT1	NM_012091,NR_036460	30.00	26.00	20.00	48.00	40.00	35.00	173.00	196.00	191.00	201.00	190.00	176.00
ADAT2	NM_001286259,NM_182503	5.00	9.00	17.00	12.00	7.00	7.00	275.00	222.00	280.00	287.00	303.00	306.00
ADAT3	NM_138422	52.00	57.00	40.00	100.00	103.00	143.00	134.00	156.00	157.00	94.00	126.00	126.00
ADCK1	NM_001142545,NM_020421	42.00	27.00	38.00	60.00	54.00	64.00	299.00	281.00	262.00	210.00	220.00	233.00
ADCK2	NM_052853	26.00	27.00	33.00	63.00	78.00	123.00	252.00	303.00	305.00	264.00	255.00	318.00
ADCK3	NM_020247	26.00	31.00	31.00	83.00	82.00	72.00	985.00	1120.00	1016.00	868.00	868.00	939.00
ADCK4	NM_001142555,NM_024876	67.00	62.00	55.00	60.00	61.00	62.00	677.00	870.00	711.00	653.00	740.00	627.00
ADCK5	NM_174922	17.00	25.00	11.00	30.00	25.00	28.00	123.00	136.00	140.00	88.00	98.00	110.00
ADCY1	NM_001281768,NM_021116	13.00	7.00	13.00	28.00	13.00	14.00	902.00	975.00	893.00	752.00	894.00	835.00
ADCY10	NM_001167749,NM_001297772,NM_018417	3.00	1.00	2.00	3.00	5.00	5.00	1.00	0.00	0.00	0.00	1.00	0.00
ADCY10P1	NR_026938	3.00	1.00	0.00	1.00	4.00	7.00	42.00	51.00	69.13	40.07	50.00	51.00
ADCY2	NM_020546	0.00	0.00	0.00	2.00	2.00	2.00	1241.00	1079.00	1132.00	1117.00	1128.00	1134.00
ADCY3	NM_004036	73.00	70.00	66.00	110.00	113.00	125.00	667.00	755.00	714.00	683.00	697.00	749.00
ADCY4	NM_001198568,NM_001198592,NM_139247	0.00	0.00	0.00	0.00	0.00	0.00	28.00	31.00	24.00	8.00	11.00	10.00
ADCY5	NM_001199642,NM_183357	18.00	21.00	21.00	1.00	1.00	1.00	269.00	238.00	234.00	164.00	176.00	201.00
ADCY6	NM_015270	44.00	42.00	65.00	5.00	9.00	11.00	635.00	713.00	742.00	667.00	759.00	730.00
ADCY7	NM_001114,NM_001286057	14.00	13.00	14.00	10.00	10.00	7.00	233.00	260.00	236.00	271.00	252.00	261.00
ADCY8	NM_001115	1.00	0.00	0.00	1.00	0.00	1.00	89.00	86.00	73.00	141.00	116.00	113.00
ADCY9	NM_001116	149.00	150.00	107.00	31.00	45.00	40.00	379.00	354.00	417.00	354.00	310.00	354.00
ADCYAP1	NM_001099733,NM_001117	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	1.00
ADCYAP1R1	NM_001118,NM_001199635,NM_001199636,NM_001199637	6.00	1.00	2.00	4.00	0.00	1.00	406.00	342.00	368.00	188.00	221.00	210.00
ADD1	NM_001119,NM_001286645,NM_014189,NM_014190,NM_176801	693.00	655.00	688.00	856.00	930.00	965.00	3266.00	3415.00	3387.00	3146.00	3296.00	3462.00
ADD2	NM_001185054,NM_001185055,NM_001617,NM_017482,NM_017488	66.00	59.00	58.00	100.00	120.00	118.00	3626.00	3912.00	3401.00	3514.00	3727.00	4015.00
ADD3	NM_001121,NM_016824,NM_019903	135.00	138.00	154.00	196.00	169.00	156.00	2473.00	2287.00	2077.00	2753.00	2605.00	2530.00
ADD3-AS1	NR_038943	0.00	0.00	0.00	0.00	0.00	1.00	4.00	7.00	3.00	1.00	4.00	2.00
ADGB	NM_024694	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADGRA1	NM_001083909,NM_001291085	5.00	2.00	1.00	4.00	2.00	8.00	14.00	9.00	11.00	9.00	13.00	19.00
ADGRA1-AS1	NR_111905	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADGRA2	NM_032777	586.00	585.00	567.00	105.00	120.00	135.00	155.00	148.00	163.00	86.00	83.00	121.00
ADGRA3	NM_145290	147.00	138.00	161.00	237.00	202.00	246.00	1529.00	1594.00	1452.00	1464.00	1404.00	1397.00
ADGRB1	NM_001702	5.00	1.00	6.00	5.00	5.00	4.00	360.00	450.00	444.00	276.00	307.00	375.00
ADGRB2	NM_001294335,NM_001294336	15.00	20.00	14.00	4.00	4.00	3.00	653.00	745.00	708.00	662.00	762.00	824.00
ADGRB3	NM_001704	0.00	0.00	0.00	3.00	4.00	0.00	68.00	69.00	45.00	31.00	20.00	31.00
ADGRD1	NM_198827	32.00	26.00	26.00	22.00	37.00	32.00	14.00	10.00	23.00	17.00	18.00	15.00
ADGRE1	NM_001256252,NM_001256253,NM_001256254,NM_001256255,NM_001974	1.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
ADGRE2	NM_001271052,NM_013447	5.12	3.06	4.05	12.19	3.19	9.31	61.97	70.88	64.35	68.87	54.00	49.00
ADGRE3	NM_001289158,NM_001289159,NM_032571	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADGRE4P	NR_024075	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADGRE5	NM_001025160,NM_001784,NM_078481	99.88	84.94	76.95	188.81	189.81	203.69	64.03	73.12	52.65	58.13	61.00	54.00
ADGRF1	NM_025048,NM_153840	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADGRF2	NM_153839	0.00	0.00	0.00	2.00	0.00	1.00	1.00	0.00	1.00	1.00	2.00	0.00
ADGRF3	NM_001145168,NM_001145169,NM_153835	3.00	0.00	0.00	0.00	0.00	2.00	1.00	3.00	2.00	3.00	6.00	10.00
ADGRF4	NM_153838	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	1.00	1.00
ADGRF5	NM_001098518,NM_015234	0.00	4.00	2.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	2.00
ADGRG1	NM_001145770,NM_001145771,NM_001145772,NM_001145773,NM_001145774,NM_001290142,NM_001290143,NM_001290144,NM_005682,NM_201524,NM_201525	233.00	216.00	197.00	17.00	15.00	15.00	184.00	241.00	185.00	202.00	234.00	229.00
ADGRG2	NM_001079858,NM_001079859,NM_001079860,NM_001184833,NM_001184834,NM_001184835,NM_001184836,NM_001184837,NM_005756	28.00	23.00	19.00	55.00	55.00	55.00	345.00	358.00	341.00	301.00	307.00	333.00
ADGRG3	NM_001308360,NM_170776	0.00	0.00	0.00	0.00	0.00	0.00	47.00	61.00	56.00	44.00	38.00	46.00
ADGRG4	NM_153834	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00
ADGRG5	NM_001304376,NM_153837	10.00	14.00	20.00	31.00	34.00	42.00	249.00	274.00	293.00	190.00	225.00	201.00
ADGRG6	NM_001032394,NM_001032395,NM_020455,NM_198569	9.00	4.00	4.00	6.00	7.00	2.00	112.00	101.00	110.00	42.00	51.00	48.00
ADGRG7	NM_001308362,NM_032787	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADGRL1	NM_001008701,NM_014921	134.00	142.00	111.00	386.00	361.00	442.00	3700.00	4237.00	3838.00	4062.00	4417.00	4548.00
ADGRL2	NM_001297704,NM_001297705,NM_001297706,NM_012302	254.00	302.00	301.00	310.00	356.00	260.00	5479.00	5094.00	4686.00	6423.00	6094.00	6153.00
ADGRL3	NM_015236	30.00	42.00	45.00	10.00	8.00	9.00	506.00	589.00	426.00	306.00	317.00	295.00
ADGRL3-AS1	NR_110595	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADGRL4	NM_022159	0.00	1.00	1.00	0.00	0.00	0.00	20.00	15.00	16.00	28.00	18.00	20.00
ADGRV1	NM_032119,NR_003149	11.00	5.00	10.00	17.00	15.00	17.00	1796.00	1342.00	1290.00	1544.00	1682.00	1422.00
ADH1A	NM_000667	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADH1B	NM_000668,NM_001286650	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADH1C	NM_000669	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADH4	NM_000670,NM_001306171,NM_001306172	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADH5	NM_000671	234.00	271.00	251.00	442.00	423.00	440.00	2707.00	2557.00	2172.00	3156.00	2942.00	2981.00
ADH6	NM_000672,NM_001102470	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	2.00	0.00	0.00
ADH7	NM_000673,NM_001166504	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADHFE1	NM_144650	0.00	1.00	1.00	4.00	3.00	1.00	59.00	48.00	70.00	28.00	48.00	36.00
ADI1	NM_001306077,NM_018269_1	191.00	180.00	183.00	517.00	472.00	431.00	411.00	461.00	355.00	432.00	359.00	360.00
ADIG	NM_001018082,NR_130907	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADIPOQ	NM_001177800,NM_004797	2.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ADIPOQ-AS1	NR_046662	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADIPOR1	NM_001290553,NM_001290557,NM_001290629,NM_015999	255.00	286.00	211.00	387.00	353.00	369.00	1758.00	1659.00	1805.00	1530.00	1660.00	1672.00
ADIPOR2	NM_024551	201.00	179.00	188.00	268.00	267.00	248.00	904.00	890.00	850.00	828.00	839.00	813.00
ADIRF	NM_006829	0.00	0.00	0.00	1.00	0.00	0.00	2.00	0.00	1.00	0.00	2.00	3.00
